school,school_name_long,state_school_id,lea_name,lea_id,level,grades,ward,charter_status,phone,address
Lafayette,Lafayette Elementary School,261,District of Columbia Public Schools,001,Elementary,PK4 - 5,4,DCPS,(202) 282-0116,"5701 Broad Branch Rd. NW, WASHINGTON, DC 20015"
Langdon,Langdon Elementary School,262,District of Columbia Public Schools,001,Elementary,PK3 - 5,5,DCPS,(202) 576-6048,"1900 Evarts St. NE, WASHINGTON, DC 20018"
Langley,Langley Elementary School,370,District of Columbia Public Schools,001,Elementary,PK3 - 5,5,DCPS,(202) 724-4223,"101 T Street NE, WASHINGTON, DC 20002"
LaSalle-Backus,LaSalle-Backus Elementary School,264,District of Columbia Public Schools,001,Elementary,PK3 - 5,4,DCPS,(202) 671-6340,"501 Riggs Rd. NE, WASHINGTON, DC 20011"
LAYC,LAYC Career Academy PCS,104,LAYC Career Academy PCS,172,Other,,AD,Charter,(202) 319-2228,"3224 16TH STREET NW, WASHINGTON, DC 20010"
LEARN,LEARN DC PCS,1172,LEARN DC PCS,358,Elementary,PK3 - 1,8,Charter,(202) 949-0930,"100 DUNCAN STREET SW, WASHINGTON, DC 20032"
Leckie,Leckie Education Campus,266,District of Columbia Public Schools,001,K-8,PK3 - 8,8,DCPS,(202) 645-3330,"4201 M.L. King Ave. SW, WASHINGTON, DC 20032"
Lee Brookland,Lee Montessori PCS - Brookland,228,Lee Montessori PCS,177,Elementary,PK3 - 6,4,Charter,(202) 779-9740,"3025 4TH STREET NE, WASHINGTON, DC 20017"
Lee East End,Lee Montessori PCS - East End,1141,Lee Montessori PCS,177,Elementary,PK3 - 1,5,Charter,(202) 966-6700,"2345 R STREET SE, WASHINGTON, DC 20020"
Ludlow-Taylor,Ludlow-Taylor Elementary School,271,District of Columbia Public Schools,001,Elementary,PK3 - 5,6,DCPS,(202) 698-3244,"659 G St. NE, WASHINGTON, DC 20002"
MacFarland,MacFarland Middle School,420,District of Columbia Public Schools,001,Middle,6 - 8,4,DCPS,(202) 671-6033,"4400 Iowa Ave. NW, WASHINGTON, DC 20011"
Malcolm X,Malcolm X Elementary School @ Green,308,District of Columbia Public Schools,001,Elementary,PK3 - 5,8,DCPS,(202) 645-3409,"1500 Mississippi Ave. SE, WASHINGTON, DC 20032"
Mann,Mann Elementary School,273,District of Columbia Public Schools,001,Elementary,PK4 - 5,3,DCPS,(202) 282-0126,"4430 Newark St. NW, WASHINGTON, DC 20016"
Marie Reed,Marie Reed Elementary School,284,District of Columbia Public Schools,001,Elementary,PK3 - 5,1,DCPS,(202) 673-7308,"2201 18th St. NW, WASHINGTON, DC 20009"
Marshall,Thurgood Marshall Academy PCS,191,Thurgood Marshall Academy PCS,146,High,9 - 12,8,Charter,(202) 563-6862,"2427 MARTIN LUTHER KING JR AVENUE SE, WASHINGTON, DC 20020"
Maury,Maury Elementary School,274,District of Columbia Public Schools,001,Elementary,PK3 - 5,6,DCPS,(202) 698-3838,"1250 Constitution Ave. NE, WASHINGTON, DC 20002"
McKinley HS,McKinley Technology High School,458,District of Columbia Public Schools,001,High,9 - 12,5,DCPS,(202) 281-3950,"151 T St. NE, WASHINGTON, DC 20002"
McKinley MS,McKinley Middle School,435,District of Columbia Public Schools,001,Middle,6 - 8,5,DCPS,(202) 281-3950,"151 T. St. NE, WASHINGTON, DC 20002"
Meridian,Meridian PCS,165,Meridian PCS,135,K-8,PK3 - 8,1,Charter,(202) 387-9830,"2120 13TH STREET NW, WASHINGTON, DC 20009"
Military Road,Military Road Early Learning Center,1165,District of Columbia Public Schools,001,Elementary,PK3 - PK4,4,DCPS,(202) 671-6410,"1375 Missouri Ave NW, WASHINGTON, DC 20011"
Miller,Kelly Miller Middle School,421,District of Columbia Public Schools,001,Middle,6 - 8,7,DCPS,(202) 388-6870,"301 49th St. NE, WASHINGTON, DC 20019"
Miner,Miner Elementary School,280,District of Columbia Public Schools,001,Elementary,PK3 - 5,6,DCPS,(202) 397-3960,"601 15th St. NE, WASHINGTON, DC 20002"
Monument,Monument Academy PCS,260,Monument Academy PCS,184,Middle,5 - 8,6,Charter,(202) 545-3180,"500 19TH STREET NE, WASHINGTON, DC 20002"
Moore,Luke C. Moore High School,884,District of Columbia Public Schools,001,High,9 - 12,5,DCPS,(202) 281-3600,"1001 Monroe St. NE, WASHINGTON, DC 20017"
Moten,Moten Elementary School,285,District of Columbia Public Schools,001,Elementary,PK3 - 5,8,DCPS,(202) 698-1111,"1565 Morris Rd. SE, WASHINGTON, DC 20020"
Mundo CO,Mundo Verde Bilingual PCS - Calle Ocho,1088,Mundo Verde Bilingual PCS,171,Elementary,PK3 - 2,5,Charter,(202) 803-8967,"4401 8TH STREET NE, WASHINGTON, DC 20017"
Mundo Cook,Mundo Verde Bilingual PCS - J.F. Cook,3065,Mundo Verde Bilingual PCS,171,Elementary,PK3 - 5,5,Charter,(202) 750-7060,"30 P STREET NW, WASHINGTON, DC 20001"
Murch,Murch Elementary School,287,District of Columbia Public Schools,001,Elementary,PK4 - 5,3,DCPS,(202) 282-0130,"4810 36th St. NW, WASHINGTON, DC 20008"
Nalle,Nalle Elementary School,288,District of Columbia Public Schools,001,Elementary,PK3 - 5,7,DCPS,(202) 671-6280,"219 50th St. SE, WASHINGTON, DC 20019"
Next Step,The Next Step/El Proximo Paso PCS,168,The Next Step/El Proximo Paso PCS,145,Other,,AD,Charter,(202) 319-2249,"3047 15TH STREET NW, WASHINGTON, DC 20009"
Noyes,Noyes Elementary School,290,District of Columbia Public Schools,001,Elementary,PK3 - 5,5,DCPS,(202) 281-2580,"2725 10th St. NE, WASHINGTON, DC 20018"
Oyster-Adams,Oyster-Adams Bilingual School,292,District of Columbia Public Schools,001,K-8,PK4 - 8,3,DCPS,(202) 671-6130,"2801 Calvert St. NW and 2020 19th St. NW, WASHINGTON, DC 20008"
Patterson,Patterson Elementary School,294,District of Columbia Public Schools,001,Elementary,PK3 - 5,8,DCPS,(202) 939-5280,"4399 South Capitol Terr. SW, WASHINGTON, DC 20032"
Paul HS,Paul PCS - International High School,222,Paul PCS,138,High,9 - 12,4,Charter,(202) 291-7499,"5800 8TH STREET NW, WASHINGTON, DC 20011"
Paul MS,Paul PCS - Middle School,170,Paul PCS,138,Middle,6 - 8,4,Charter,(202) 291-7499,"5800 8TH STREET NW, WASHINGTON, DC 20011"
Payne,Payne Elementary School,295,District of Columbia Public Schools,001,Elementary,PK3 - 5,6,DCPS,(202) 698-3262,"1445 C St. SE, WASHINGTON, DC 20003"
Peabody,Peabody Elementary School (Capitol Hill Cluster),301,District of Columbia Public Schools,001,Elementary,PK3 - KG,6,DCPS,(202) 698-3277,"425 C St. NE, WASHINGTON, DC 20002"
Perry,Perry Street Preparatory PCS,161,Perry Street Preparatory PCS,125,K-8,PK3 - 8,5,Charter,(202) 529-4400,"1800 PERRY STREET NE, WASHINGTON, DC 20018"
Phelps,"Phelps Architecture, Construction and Engineering High School",478,District of Columbia Public Schools,001,High,9 - 12,5,DCPS,(202) 729-4360,"704 26th St. NE, WASHINGTON, DC 20002"
Plummer,Plummer Elementary School,299,District of Columbia Public Schools,001,Elementary,PK3 - 5,7,DCPS,(202) 939-4360,"4601 Texas Ave. SE, WASHINGTON, DC 20019"
Powell,Powell Elementary School,300,District of Columbia Public Schools,001,Elementary,PK3 - 5,4,DCPS,(202) 671-6270,"1350 Upshur St. NW, WASHINGTON, DC 20011"
Randle Highlands,Randle Highlands Elementary School,316,District of Columbia Public Schools,001,Elementary,PK3 - 5,7,DCPS,(202) 729-3250,"1650 30th St. SE, WASHINGTON, DC 20020"
Raymond,Raymond Elementary School,302,District of Columbia Public Schools,001,Elementary,PK3 - 5,4,DCPS,(202) 576-6236,"2501 11th Street, NW, WASHINGTON, DC 20001"
ReEngagement,DC Youth ReEngagement Center,253,DC Youth ReEngagement Center,182,Other,,7,DCPS,,"4058 Minnesota Ave NE, WASHINGTON, DC 20019"
River Terrace,River Terrace Education Campus,304,District of Columbia Public Schools,001,3-12,3 - 12,7,DCPS,(202) 442-7111,"405 Anacostia Ave. NE, WASHINGTON, DC 20019"
Rocketship Infinity,Rocketship PCS - Infinity Community Prep,1150,Rocketship Education DC PCS,191,Elementary,PK3 - 3,5,Charter,(202) 627-2256,"5450 3RD STREET NE, WASHINGTON, DC 20011"
Rocketship Legacy,Rocketship PCS - Legacy Prep,1016,Rocketship Education DC PCS,191,Elementary,PK3 - 5,7,Charter,(202) 803-7004,"4250 MASSACHUSETTS AVENUE SE, WASHINGTON, DC 20019"
Rocketship Rise,Rocketship PCS - Rise Academy,286,Rocketship Education DC PCS,191,Elementary,PK3 - 5,8,Charter,(202) 750-7177,"2335 RAYNOLDS PLACE SE, WASHINGTON, DC 20020"
Roosevelt STAY,Roosevelt STAY High School,456,District of Columbia Public Schools,001,High,9 - Adult,4,DCPS,(202) 576-8399,"4301 13th St. NW, WASHINGTON, DC 20011"
Roosevelt,Roosevelt High School,459,District of Columbia Public Schools,001,High,9 - 12,4,DCPS,(202) 576-6130,"4301 13th St. NW, WASHINGTON, DC 20011"
Roots,Roots PCS,173,Roots PCS,140,Elementary,PK3 - 5,4,Charter,(202) 882-8073,"15 KENNEDY STREET NW, WASHINGTON, DC 20011"
Rosario,Carlos Rosario International PCS,1119,Carlos Rosario International PCS,162,Other,,AD,Charter,(202) 797-4700,"1100 HARVARD STREET NW, WASHINGTON, DC 20009"
Rosemount,Rosemount Center,1027,District of Columbia Public Schools,001,Other,,N/A,DCPS,(202) 265-9885,"2000 Rosemount Avenue NW, WASHINGTON, DC 20010"
Ross,Ross Elementary School,305,District of Columbia Public Schools,001,Elementary,PK4 - 5,2,DCPS,(202) 673-7200,"1730 R St. NW, WASHINGTON, DC 20009"
Savoy,Savoy Elementary School,307,District of Columbia Public Schools,001,Elementary,PK3 - 5,8,DCPS,(202) 939-2000,"2400 Shannon Pl. SE, WASHINGTON, DC 20020"
School Without Walls,School Without Walls High School,466,District of Columbia Public Schools,001,High,9 - 12,2,DCPS,(202) 645-9690,"2130 G St. NW, WASHINGTON, DC 20037"
Seaton,Seaton Elementary School,309,District of Columbia Public Schools,001,Elementary,PK3 - 5,6,DCPS,(202) 673-7215,"1503 10th St. NW, WASHINGTON, DC 20001"
SEED,SEED PCS of Washington DC,174,SEED PCS,142,High,9 - 12,7,Charter,(202) 248-7773,"4300 C STREET SE, WASHINGTON, DC 20019"
Sela,Sela PCS,197,Sela PCS,174,Elementary,PK3 - 5,4,Charter,(202) 670-7352,"6015 CHILLUM PLACE NE, WASHINGTON, DC 20011"
Shepherd,Shepherd Elementary School,313,District of Columbia Public Schools,001,Elementary,PK3 - 5,4,DCPS,(202) 576-6140,"7800 14th St NW, WASHINGTON, DC 20012"
Shining Stars,Shining Stars Montessori Academy PCS,3066,Shining Stars Montessori Academy PCS,166,Elementary,PK3 - 6,5,Charter,(202) 723-1467,"1240 RANDOLPH STREET NE, WASHINGTON, DC 20017"
Simon,Simon Elementary School,315,District of Columbia Public Schools,001,Elementary,PK3 - 5,8,DCPS,(202) 645-3360,"401 Mississippi Ave. SE, WASHINGTON, DC 20032"
Smothers,Smothers Elementary School,322,District of Columbia Public Schools,001,Elementary,PK3 - 5,7,DCPS,(202) 939-3600,"1300 44th St. NE, WASHINGTON, DC 20019"
Social Justice,Social Justice PCS,1148,Social Justice PCS,350,Middle,5 - 7,5,Charter,(202) 938-8938,"5450 3RD STREET NE, WASHINGTON, DC 20011"
Sousa,Sousa Middle School,427,District of Columbia Public Schools,001,Middle,6 - 8,7,DCPS,(202) 729-3260,"3650 Ely Pl. SE, WASHINGTON, DC 20019"
St. Coletta,St. Coletta Special Education PCS,1047,St. Coletta Special Education PCS,143,K-12,PK3 - 12,6,Charter,(202) 350-8680,"1901 INDEPENDENCE AVENUE SE, WASHINGTON, DC 20003"
Stanton,Stanton Elementary School,319,District of Columbia Public Schools,001,Elementary,PK3 - 5,8,DCPS,(202) 671-6180,"2701 Naylor Rd. SE, WASHINGTON, DC 20020"
Statesmen,Statesmen College Preparatory  Academy for Boys PCS,1037,Statesmen College Preparatory Academy for Boys PCS,314,Middle,4 - 7,8,Charter,(202) 830-2810,"4600 LIVINGSTON ROAD SE, WASHINGTON, DC 20032"
Stevens,Thaddeus Stevens Early Learning Center,1142,District of Columbia Public Schools,001,Elementary,PK3 - PK4,2,DCPS,(202) 698-0677,"1050 21st Street NW, WASHINGTON, DC 20036"
Stoddert,Stoddert Elementary School,321,District of Columbia Public Schools,001,Elementary,PK4 - 5,3,DCPS,(202) 671-6030,"4001 Calvert St. NW, WASHINGTON, DC 20007"
Stuart-Hobson,Stuart-Hobson Middle School (Capitol Hill Cluster),428,District of Columbia Public Schools,001,Middle,6 - 8,6,DCPS,(202) 671-6010,"410 E St. NE, WASHINGTON, DC 20002"
SWS Goding,School-Within-School @ Goding,175,District of Columbia Public Schools,001,Elementary,PK3 - 5,6,DCPS,(202) 727-7377,"810 26th Street, NE, WASHINGTON, DC 20002"
SWW,School Without Walls @ Francis-Stevens,409,District of Columbia Public Schools,001,K-8,PK3 - 8,2,DCPS,(202) 724-4841,"2425 N St. NW, WASHINGTON, DC 20037"
Takoma,Takoma Elementary School,324,District of Columbia Public Schools,001,Elementary,PK3 - 5,4,DCPS,(202) 671-6050,"7010 Piney Branch Rd. NW, WASHINGTON, DC 20012"
Thomas,Thomas Elementary School,325,District of Columbia Public Schools,001,Elementary,PK3 - 5,7,DCPS,(202) 724-4593,"650 Anacostia Ave. NE, WASHINGTON, DC 20019"
Thomson,Thomson Elementary School,326,District of Columbia Public Schools,001,Elementary,PK3 - 5,2,DCPS,(202) 898-4660,"1200 L St. NW, WASHINGTON, DC 20005"
Truesdell,Truesdell Elementary School,327,District of Columbia Public Schools,001,Elementary,PK3 - 5,4,DCPS,(202) 576-6202,"800 Ingraham St. NW, WASHINGTON, DC 20011"
Truth,The Sojourner Truth School PCS,1144,The Sojourner Truth School PCS,323,Middle,6 - 8,5,Charter,(202) 747-0904,"1800 PERRY STREET NE, WASHINGTON, DC 20018"
Tubman,Tubman Elementary School,328,District of Columbia Public Schools,001,Elementary,PK3 - 5,1,DCPS,(202) 673-7285,"3101 13th St. NW, WASHINGTON, DC 20010"
Turner,Turner Elementary School,329,District of Columbia Public Schools,001,Elementary,PK3 - 5,8,DCPS,(202) 645-3470,"3264 Stanton Rd. SE, WASHINGTON, DC 20032"
Two Rivers 4th,Two Rivers PCS - 4th Street,198,Two Rivers PCS,149,Elementary,PK3 - 5,6,Charter,(202) 543-8477,"1227 4TH STREET NE, WASHINGTON, DC 20002"
Two Rivers Young ES,Two Rivers PCS - Young Elementary School,270,Two Rivers PCS,149,Elementary,PK3 - 5,5,Charter,(202) 388-1360,"820 26TH STREET NE, WASHINGTON, DC 20002"
Two Rivers Young MS,Two Rivers PCS - Young Middle School,1152,Two Rivers PCS,149,Middle,6 - 8,5,Charter,(202) 388-1360,"830 26TH STREET NE, WASHINGTON, DC 20002"
Tyler,Tyler Elementary School,330,District of Columbia Public Schools,001,Elementary,PK3 - 5,6,DCPS,(202) 939-4810,"1001 G St. SE, WASHINGTON, DC 20003"
Unilateral,Unilateral Placements ,1149,District of Columbia Public Schools,001,Other,,N/A,DCPS,(202) 907-8414,"1200 First Street NE, WASHINGTON, DC 20002"
Van Ness,Van Ness Elementary School,331,District of Columbia Public Schools,001,Elementary,PK3 - 5,6,DCPS,(202) 727-4314,"1150 5th St SE, WASHINGTON, DC 20003"
Walker-Jones,Walker-Jones Education Campus,332,District of Columbia Public Schools,001,K-8,PK3 - 8,6,DCPS,(202) 939-5934,"1125 New Jersey Ave. NW, WASHINGTON, DC 20001"
Washington Global,Washington Global PCS,263,Washington Global PCS,185,Middle,6 - 8,6,Charter,(202) 796-2415,"525 SCHOOL STREET SW, WASHINGTON, DC 20024"
Washington Latin HS,Washington Latin PCS - Upper School,1118,Washington Latin PCS,151,High,9 - 12,4,Charter,(202) 223-1111,"5200 2ND STREET NW, WASHINGTON, DC 20011"
Washington Latin MS,Washington Latin PCS - Middle School,125,Washington Latin PCS,151,Middle,5 - 8,4,Charter,(202) 223-1111,"5200 2ND STREET NW, WASHINGTON, DC 20011"
Washington Leadership,Washington Leadership Academy PCS,283,Washington Leadership Academy PCS,194,High,9 - 12,5,Charter,(240) 580-3371,"3015 4TH STREET NE, WASHINGTON, DC 20017"
Washington Yu Ying,Washington Yu Ying PCS,1117,Washington Yu Ying PCS,160,Elementary,PK3 - 5,5,Charter,(202) 635-1950,"220 TAYLOR STREET NE, WASHINGTON, DC 20017"
Watkins,Watkins Elementary School (Capitol Hill Cluster),333,District of Columbia Public Schools,001,Elementary,1 - 5,6,DCPS,(202) 698-3355,"420 12th St. SE, WASHINGTON, DC 20003"
Wells,Ida B. Wells Middle School,1071,District of Columbia Public Schools,001,Middle,6 - 8,4,DCPS,(202) 671-0693,"405 Sheridan St. NW, WASHINGTON, DC 20011"
West,West Elementary School,336,District of Columbia Public Schools,001,Elementary,PK3 - 5,4,DCPS,(202) 576-6226,"1335 Farragut St NW, WASHINGTON, DC 20011"
Wheatley,Wheatley Education Campus,335,District of Columbia Public Schools,001,K-8,PK3 - 8,5,DCPS,(202) 939-5970,"1299 Neal St. NE, WASHINGTON, DC 20002"
Whitlow BR,Elsie Whitlow Stokes Community Freedom PCS - Brookland,159,Elsie Whitlow Stokes Community Freedom PCS,144,Elementary,PK3 - 5,5,Charter,(202) 265-7237,"3700 OAKVIEW TERRACE NE, WASHINGTON, DC 20017"
Whitlow EE,Elsie Whitlow Stokes Community Freedom PCS - East End,1059,Elsie Whitlow Stokes Community Freedom PCS,144,Elementary,PK3 - 3,7,DCPS,(202) 975-2100,"5600 EAST CAPITOL STREET NE, WASHINGTON, DC 20019"
Whittier,Whittier Elementary School,338,District of Columbia Public Schools,001,Elementary,PK3 - 5,4,DCPS,(202) 576-6156,"6201 5th St. NW, WASHINGTON, DC 20011"
Wilson,J.O. Wilson Elementary School,339,District of Columbia Public Schools,001,Elementary,PK3 - 5,6,DCPS,(202) 698-4733,"660 K St. NE, WASHINGTON, DC 20002"
Wilson,Woodrow Wilson High School,463,District of Columbia Public Schools,001,High,9 - 12,3,DCPS,(202) 282-0120,"3950 Chesapeake St. NW, WASHINGTON, DC 20016"
Woodson,H.D. Woodson High School,464,District of Columbia Public Schools,001,High,9 - 12,7,DCPS,(202) 939-2030,"540 55th St. NE, WASHINGTON, DC 20019"
Wright,Richard Wright PCS for Journalism and Media Arts,3067,Richard Wright PCS for Journalism and Media Arts,167,8-12,8 - 12,6,Charter,(202) 388-1011,"475 SCHOOL STREET SW, WASHINGTON, DC 20024"
YouthBuild,YouthBuild DC PCS,128,YouthBuild DC PCS,131,Other,,AD,Charter,(202) 319-0141,"3220 16TH STREET NW, WASHINGTON, DC 20010"
